question;answer;book title
How did Snowdrop finally come back to life at the end?;When the prince's servants stumbled while carrying her glass coffin, the violent jerk caused the poisonous apple to pop out of her throat, and she sat up alive and well again.;Red Riding Hood and Other Stories
What five fairy tales are included in this collection?;Little Red Riding Hood, The Goose-Girl, Babes in the Wood, The Sleeping Beauty, and Snowdrop and Seven Little Dwarfs.;Red Riding Hood and Other Stories
What color was Dickie Deer Mouse's coat?;He was dressed in fawn color and white, with white feet and underside.;The Tale of Dickie Deer Mouse
How did Dickie Deer Mouse's appearance change from when he was young?;When he was very young, the top side of him was gray instead of fawn colored, but his feet and underside were always white.;The Tale of Dickie Deer Mouse
What made Dickie Deer Mouse different from other animals in Pleasant Valley?;He was considered the most gentle of all the four-footed folk in the neighborhood and was always well-mannered.;The Tale of Dickie Deer Mouse
How did Dickie's white feet stay so clean despite running through the woods?;His mother had taught him the proper way when he was young, so he knew how to keep his white feet spotless.;The Tale of Dickie Deer Mouse
What sounds did Dickie Deer Mouse make?;He made sharp little cries and brisk chatter that sounded like squirrels, only much farther away.;The Tale of Dickie Deer Mouse
What did Dickie Deer Mouse consider an ideal home?;He thought the deserted nest of one of the big Crow family made the finest house anyone could want.;The Tale of Dickie Deer Mouse
Where was Mr. Crow's nest located?;It was high in the top of a tall elm tree, very far from the ground.;The Tale of Dickie Deer Mouse
Why did Dickie want to move into Mr. Crow's old nest?;He heard gossip that Mr. Crow had moved to another tree nearer to Farmer Green's cornfield.;The Tale of Dickie Deer Mouse
What happened when Dickie tried to occupy Mr. Crow's nest?;Mr. Crow was still living there and was startled awake when Dickie jumped down beside him.;The Tale of Dickie Deer Mouse
What type of nest did Dickie eventually choose for his summer home?;He chose a last year's bird's nest where two Blackbirds had reared a family but hadn't returned.;The Tale of Dickie Deer Mouse
What did Dickie use to make his bed comfortable?;He gathered cat-tail down from Cedar Swamp to line his nest.;The Tale of Dickie Deer Mouse
How did Dickie modify the old bird's nest?;He covered the top with moss to make a roof, leaving a hole under the eaves for a doorway.;The Tale of Dickie Deer Mouse
What did Long Bill Wren think about Dickie's house improvements?;"He liked them but remarked that the house would be better ""if it was rounder.""";The Tale of Dickie Deer Mouse
What was Jasper Jay's opinion of Dickie's renovated house?;"He said it was ruined and declared it was ""nothing but a trap.""";The Tale of Dickie Deer Mouse
How did Dickie use his house for safety?;He would stick only his head out through the doorway to watch for danger while staying hidden.;The Tale of Dickie Deer Mouse
What types of food did Dickie Deer Mouse prefer?;He liked nuts (especially thin-shelled ones), berries, grain, and seeds.;The Tale of Dickie Deer Mouse
Why did Dickie prefer thin-shelled nuts?;Because he was smaller than Frisky Squirrel, so his jaws and teeth were not as strong.;The Tale of Dickie Deer Mouse
What did Dickie do to prepare for winter?;He gathered good things to eat and hid them away in safe places so he wouldn't go hungry when snow covered the ground.;The Tale of Dickie Deer Mouse
What advice did Dickie give Fatty Coon about food?;He suggested Fatty try eating deer's horns, which Dickie claimed were delicious when you're hungry.;The Tale of Dickie Deer Mouse
What happened when Fatty Coon searched for deer's horns?;He couldn't find any because it wasn't the season when deer drop their horns, and the Deer Mouse family had already found and eaten them all.;The Tale of Dickie Deer Mouse
Why was old Mr. Crow angry with Dickie Deer Mouse?;Because Dickie had awakened him from a sound sleep and frightened him when he broke into his nest.;The Tale of Dickie Deer Mouse
What complaint did Mr. Crow have about the cornfield?;He accused Dickie of eating corn and getting him into trouble with Farmer Green, who thought Mr. Crow was taking all the corn.;The Tale of Dickie Deer Mouse
Who warned Dickie about Fatty Coon?;Old Mr. Crow warned him that Fatty Coon didn't like Dickie and might come to call on him some night.;The Tale of Dickie Deer Mouse
What threat did Fatty Coon make to Dickie in the cornfield?;He warned Dickie to stay away from the cornfield, and if he heard of Dickie eating any more corn, he would come to Dickie's house.;The Tale of Dickie Deer Mouse
Why were some of Dickie's feathered neighbors unfriendly toward him?;There was a story that he had once driven a Robin family away from their nest in order to live in it himself.;The Tale of Dickie Deer Mouse
Which predators did Dickie fear most?;Solomon Owl and his cousin Simon Screecher, who were always on the lookout for him.;The Tale of Dickie Deer Mouse
What happened when Dickie encountered Simon Screecher?;"Simon claimed Dickie as ""his"" prize, but Solomon Owl arrived and the two cousins fought over who saw Dickie first.";The Tale of Dickie Deer Mouse
How did Dickie escape from the two owls?;While Simon Screecher and Solomon Owl were fighting each other, Dickie scampered away through the woods.;The Tale of Dickie Deer Mouse
Who lived in the burrow with the big front door that Dickie discovered?;Tommy Fox lived there, and Dickie wisely ran away as fast as he could when he saw the dangerous occupant.;The Tale of Dickie Deer Mouse
What did Dickie do when he heard Simon Screecher's whistle?;He would stop and listen, and if the sound grew nearer, he would hide in any good place that was handy.;The Tale of Dickie Deer Mouse
Why did Dickie decide to move from his summer home?;As fall arrived, his summer home became cold and uncomfortable, with wind searching him out and rain trickling through his moss roof.;The Tale of Dickie Deer Mouse
Where did Dickie search for his winter home?;He headed for Farmer Green's pasture to look for holes and burrows.;The Tale of Dickie Deer Mouse
What kind of winter home did Dickie eventually find?;An old burrow where Billy Woodchuck's uncle and aunt had once lived and raised a family.;The Tale of Dickie Deer Mouse
How had the burrow's entrance become hidden?;Frost had heaved the earth, rain had helped fill it, Farmer Green's cows had trampled over it, and grass had covered the small opening.;The Tale of Dickie Deer Mouse
What did Dickie find in the underground chamber?;A roomy chamber comfortably furnished with a big bed of soft, dried grasses where the Woodchucks had spent many winters.;The Tale of Dickie Deer Mouse
Who told Dickie's cousins about his new house?;Fatty Coon spread the news about Dickie's house with its long front hall.;The Tale of Dickie Deer Mouse
How many relatives came to stay with Dickie?;Eighteen cousins from three big families came to spend the winter with him.;The Tale of Dickie Deer Mouse
What did Dickie's cousins expect to find in his house?;They expected to find lots of rooms since they heard it had a front hall a hundred times as long as Fatty Coon's tail.;The Tale of Dickie Deer Mouse
What mistake did Dickie make when leading his cousins through the burrow?;He took the wrong tunnel and led them out through the back door without entering the chamber at all.;The Tale of Dickie Deer Mouse
How did the cousins eventually find the chamber?;They came back to the house ahead of Dickie and found the chamber without his help.;The Tale of Dickie Deer Mouse
How did having eighteen cousins in his chamber benefit Dickie?;Their soft, round bodies heated the underground chamber almost as well as if he had a real stove.;The Tale of Dickie Deer Mouse
What warning did the first early snowstorm provide?;It warned all the Deer Mouse family that winter was coming, so they gathered enough nuts and seeds to last through the winter.;The Tale of Dickie Deer Mouse
Where did Dickie store food for emergencies?;He hid spruce seeds in a hollow rail of the pasture fence.;The Tale of Dickie Deer Mouse
How did the cousins behave during the coldest weather?;They slept soundly and were surprisingly quiet, even the children who had been noisy before.;The Tale of Dickie Deer Mouse
What wish did Dickie make about his eighteen cousins?;He wished they wouldn't wake up until spring.;The Tale of Dickie Deer Mouse
Who helped Dickie find food during the harsh winter?;Mr. Pine Finch, who had a peculiar way of talking through his nose.;The Tale of Dickie Deer Mouse
What was Mr. Pine Finch doing when Dickie first observed him closely?;He was hanging upside down from tree branches, eating buds from the tips of the branches.;The Tale of Dickie Deer Mouse
How did Mr. Pine Finch help Dickie and his family?;He dropped many tree buds (possibly on purpose) that Dickie and his eighteen cousins could eat.;The Tale of Dickie Deer Mouse
What did the Deer Mouse family think of Mr. Pine Finch by the end of winter?;They decided he was the best friend they had in all Pleasant Valley and that his voice was the pleasantest they had ever heard.;The Tale of Dickie Deer Mouse
How did the story end?;When spring came and warm weather made the underground chamber feel crowded and stuffy, Dickie said farewell to his eighteen cousins and went to look for a pleasant place to spend the summer.;The Tale of Dickie Deer Mouse
What was the King's youngest daughter's favorite amusement?;Throwing a golden ball up in the air and catching it while sitting by a fountain under an old lime-tree.;The Frog Prince
Where was the fountain located?;In a large and gloomy forest near the King's castle, beneath the branches of an old lime-tree.;The Frog Prince
What happened to the golden ball?;It didn't fall back into the princess's hand but rolled past her into the fountain and disappeared beneath the deep water.;The Frog Prince
Who offered to help retrieve the golden ball?;A Frog who stretched his thick ugly head out of the water.;The Frog Prince
What did the princess call the Frog when she first saw him?;"""You old water-paddler.""";The Frog Prince
What did the Frog ask for in return for retrieving the ball?;He wanted the princess to love him, let him be her companion and playfellow, sit at her table, eat from her golden plate, drink from her cup, and sleep in her bed.;The Frog Prince
What did the princess offer the Frog instead?;Her dresses, pearls and jewels, or her golden crown.;The Frog Prince
What did the princess think to herself after making the promise?;"""What is the silly Frog chattering about? Let him remain in the water with his equals; he cannot mix in society.""";The Frog Prince
What did the Frog do after receiving the promise?;He drew his head under the water, dived down, and soon swam up again with the ball in his mouth, throwing it on the grass.;The Frog Prince
How did the princess react when she got her ball back?;She was full of joy and ran off immediately, ignoring the Frog's calls to take him with her.;The Frog Prince
How did the Frog get to the palace?;"He climbed up the marble stairs with a ""splish-splash"" sound and knocked at the door.";The Frog Prince
What verse did the Frog recite at the door?;"""King's daughter, youngest, Open the door. Hast thou forgotten Thy promises made At the fountain so clear 'Neath the lime-tree's shade?""";The Frog Prince
How did the princess react when she opened the door and saw the Frog?;She shut the door again with great vehemence and sat down looking very pale.;The Frog Prince
What did the King think was at the door when he saw his daughter's reaction?;He asked if it was a giant who had come to fetch her away.;The Frog Prince
What advice did the King give his daughter about the promise?;"""What you have promised, that you must perform; go and let him in.""";The Frog Prince
What did the Frog ask for when he first entered the palace?;He asked the princess to take him up to her chair.;The Frog Prince
What happened when the Frog sat on the chair?;He jumped onto the table and asked her to push her plate near him so they could eat together.;The Frog Prince
How did the princess feel about eating with the Frog?;She ate very unwillingly, and every bit nearly choked her, while the Frog seemed to relish his dinner.;The Frog Prince
What final request did the Frog make?;He asked to be carried upstairs to her chamber to sleep in her bed, saying he was very tired.;The Frog Prince
How did the story's transformation occur?;When the princess finally lost her temper and threw the Frog against the wall with all her strength, he was changed from a frog into a handsome Prince.;The Frog Prince
What had happened to the Prince originally?;He had been transformed by an evil witch, and only the princess could have the power to free him from the fountain.;The Frog Prince
Who was faithful Henry?;The trusty servant of the young Prince who had grieved so much when his master was changed into a frog that he bound three iron bands around his heart.;The Frog Prince
What happened to the iron bands around Henry's heart?;They broke one by one during the journey as Henry's heart filled with joy at his master's release.;The Frog Prince
How did the story end for the Prince and Princess?;They became betrothed with her father's consent and planned to go together to the Prince's kingdom.;The Frog Prince
What were the names of the three princesses who lived in retirement?;Roussette, Brunette, and Blondine.;The Frog Prince
Who did the three princesses marry?;The King married Blondine, his brother married Brunette, and the Lord Admiral married Roussette.;The Frog Prince
What magical features did Queen Blondine's children have?;They had brilliant stars on their foreheads, rich chains of gold around their necks, and fine jewels fell from their hair.;The Frog Prince
How many children did Queen Blondine have?;Three children - two boys and a girl. Brunette also had one son.;The Frog Prince
Who were the villains plotting against the children?;Roussette (who was jealous) and the old Queen (the King's mother, who hated them).;The Frog Prince
Who was ordered to kill the children?;Feintise, the old Queen's waiting-woman.;The Frog Prince
What did Feintise do instead of killing the children?;She was struck by their beauty and put the four babies in a cradle in a boat, setting it adrift at sea.;The Frog Prince
Who rescued the children from the sea?;A Corsair who was struck by their beauty and took them home to his childless wife.;The Frog Prince
What names did the Corsair's wife give the children?;Belle-Etoile (the princess), Petit-Soleil (her eldest brother), Heureux (the second brother), and Cheri (Brunette's son).;The Frog Prince
What made the children valuable to the Corsair and his wife?;When their hair was combed, pearls, rubies, diamonds, and emeralds rolled out of it.;The Frog Prince
What was the first magical item Feintise told Belle-Etoile about?;The dancing-water, which could be found in the luminous forest.;The Frog Prince
Who went to fetch the dancing-water?;Prince Cheri, because he loved Belle-Etoile and would do anything for her.;The Frog Prince
What creature helped Cheri find the dancing-water?;A turtle-dove that he had saved from drowning.;The Frog Prince
What was the second magical item Belle-Etoile desired?;The singing-apple, which was guarded by a terrible dragon.;The Frog Prince
How did Cheri defeat the dragon?;"He wore a suit of glass armor; when the dragon saw his own frightening reflection multiplied in the mirrors, he became scared and fled into a deep chasm.";The Frog Prince
What was the third and most dangerous magical item?;The little green bird that tells everything, found on top of a frightful rock in a frozen climate.;The Frog Prince
What happened to the princes who tried to capture the green bird?;They fell into a spacious hall inside the rock and became motionless as statues, unable to speak or move.;The Frog Prince
How many knights were trapped in the hall?;Three hundred knights who had made the same attempt, plus the three princes.;The Frog Prince
How did Belle-Etoile successfully capture the green bird?;Disguised as a cavalier, she followed a turtle-dove's advice: sang sweetly, pretended to sleep, and when the bird came down to peck the dove, she seized it.;The Frog Prince
How were the trapped princes freed?;Belle-Etoile used a red feather from under the bird's left wing to touch the rock, which split it open, then rubbed the feather on the eyes and mouths of those she wished to disenchant.;The Frog Prince
What did the green bird reveal about the children's true identity?;Petit-Soleil, Heureux, and Belle-Etoile were the King's children, and Cheri was his nephew.;The Frog Prince
What happened to the villains?;The wicked Queen-Mother and old Feintise were justly punished.;The Frog Prince
Who did Belle-Etoile marry?;Prince Cheri, with the King's consent, as he thought Cheri was the handsomest man at court.;The Frog Prince
What was Aladdin's family situation?;"He was the son of a poor tailor named Mustapha; after his father died, his mother had to spin cotton all day to support them because Aladdin loved play more than work.";The Frog Prince
Who approached Aladdin and claimed to be his uncle?;A wicked magician who was not related to him at all but wanted to use Aladdin's services.;The Frog Prince
How did the story end for Aladdin and Princess Bulbul?;After defeating the magician and recovering the lamp, they were transported back to their native city where the Sultan was overjoyed, and Aladdin lived long afterwards to enjoy his good fortune with Bulbul.;The Frog Prince
"Who is the main character of ""A Christmas Carol""?";Ebenezer Scrooge, a miserly old businessman.;A Christmas Carol
What was the name of Scrooge's deceased business partner?;Jacob Marley.;A Christmas Carol
How long had Jacob Marley been dead at the start of the story?;Seven years.;A Christmas Carol
What is the name of Scrooge's clerk?;Bob Cratchit.;A Christmas Carol
How much does Bob Cratchit earn per week?;Fifteen shillings a week.;A Christmas Carol
What is the name of Bob Cratchit's youngest son?;"Tim Cratchit, nicknamed ""Tiny Tim.""";A Christmas Carol
What physical ailment does Tiny Tim have?;He is a cripple who uses a crutch and has his limbs supported by an iron frame.;A Christmas Carol
What is the name of Scrooge's nephew?;Fred.;A Christmas Carol
What holiday does the story center around?;Christmas.;A Christmas Carol
How many spirits visit Scrooge in total?;Four spirits - Jacob Marley's ghost and the three Christmas spirits.;A Christmas Carol
What is the first Christmas spirit called?;The Ghost of Christmas Past.;A Christmas Carol
How does the Ghost of Christmas Past appear?;Like a child yet also like an old man, with white hair, wearing a white tunic with a lustrous belt, holding fresh green holly, with a bright light emanating from its head.;A Christmas Carol
What does the Ghost of Christmas Past show Scrooge?;Scenes from Scrooge's past, including his lonely childhood at school, his time as an apprentice with Fezziwig, and his broken engagement with Belle.;A Christmas Carol
What is the second Christmas spirit called?;The Ghost of Christmas Present.;A Christmas Carol
How does the Ghost of Christmas Present appear?;As a jolly giant clothed in a green robe, with dark-brown curls, bare feet, wearing a holly wreath, carrying a glowing torch.;A Christmas Carol
What does the Ghost of Christmas Present show Scrooge?;Current Christmas celebrations, including the Cratchit family dinner and his nephew Fred's Christmas party.;A Christmas Carol
What is the third Christmas spirit called?;The Ghost of Christmas Yet to Come (or Christmas Future).;A Christmas Carol
How does the Ghost of Christmas Yet to Come appear?;As a silent, hooded phantom dressed in deep black, with only one outstretched hand visible.;A Christmas Carol
What does the Ghost of Christmas Yet to Come show Scrooge?;Visions of the future, including his own death and its aftermath, and Tiny Tim's death.;A Christmas Carol
Which spirit does Scrooge fear the most?;The Ghost of Christmas Yet to Come.;A Christmas Carol
Who was Scrooge's beloved sister?;Fan (or Fanny).;A Christmas Carol
What happened to Scrooge's sister Fan?;She died as a woman and had one child - Scrooge's nephew Fred.;A Christmas Carol
Who was Scrooge's kind employer when he was an apprentice?;Mr. Fezziwig.;A Christmas Carol
What was the name of Scrooge's former fiancée?;Belle.;A Christmas Carol
Why did Belle break off her engagement with Scrooge?;Because Scrooge had changed and become obsessed with wealth and gain, replacing love with avarice.;A Christmas Carol
What does Scrooge see when the Ghost of Christmas Past shows him Belle's later life?;Belle married to another man with a happy family and children.;A Christmas Carol
How many children do Bob and Mrs. Cratchit have?;Five children - Martha, Belinda, Peter, Tiny Tim, and two younger unnamed children.;A Christmas Carol
What is Martha Cratchit's job?;She works as an apprentice at a milliner's (hat shop).;A Christmas Carol
What does the Ghost of Christmas Present predict about Tiny Tim?;That if things remain unchanged, the child will die.;A Christmas Carol
What does Tiny Tim say at the end of the Cratchit family Christmas dinner?;"""God bless us every one!""";A Christmas Carol
How does Bob Cratchit get to and from work on Christmas Eve?;He goes down a slide on Cornhill twenty times and then runs home to Camden Town.;A Christmas Carol
What does the Cratchit family eat for Christmas dinner?;Goose with sage and onion stuffing, mashed potatoes, apple sauce, and Christmas pudding.;A Christmas Carol
What does Scrooge see written on his own gravestone?;His own name (Ebenezer Scrooge).;A Christmas Carol
What does Scrooge promise to do after his encounters with the spirits?;To honor Christmas in his heart and keep it all year, living in the Past, Present, and Future.;A Christmas Carol
What is the first thing Scrooge does on Christmas morning after his transformation?;He buys the prize turkey and sends it anonymously to the Cratchit family.;A Christmas Carol
Where does Scrooge go for Christmas dinner after his transformation?;To his nephew Fred's house.;A Christmas Carol
How does Scrooge surprise Bob Cratchit the day after Christmas?;He arrives early at the office and pretends to scold Bob for being late, then announces he's raising his salary.;A Christmas Carol
What happens to Tiny Tim at the end of the story?;He does NOT die and Scrooge becomes like a second father to him.;A Christmas Carol
What are the names of the two children the Ghost of Christmas Present shows Scrooge?;Ignorance (the boy) and Want (the girl).;A Christmas Carol
Who are the portly gentlemen who visit Scrooge's office?;Charity collectors seeking donations for the poor and destitute.;A Christmas Carol
What does Scrooge initially say when asked to donate to charity?;"He asks if there are no prisons or workhouses, and suggests the poor should go there or die to ""decrease the surplus population.""";A Christmas Carol
What is the name of the bachelor at Fred's Christmas party?;Mr. Topper.;A Christmas Carol
What game do they play at Fred's Christmas party where they guess that Scrooge is an animal?;"""Yes and No"" - they determine he's a disagreeable animal that growls, grunts, talks, and lives in London.";A Christmas Carol
What is Old Joe's profession?;He's a dealer in old rags, bottles, bones, and second-hand goods.;A Christmas Carol
What do the charwoman, laundress, and undertaker's man sell to Old Joe?;Items stolen from Scrooge's deathbed, including bed-curtains, blankets, his best shirt, and personal effects.;A Christmas Carol
"How many ""staves"" (chapters) does the story have?";Five staves.;A Christmas Carol
What does Marley's ghost tell Scrooge about the chain he wears?;That he forged it in life, link by link, through his selfish and greedy actions, and that Scrooge has been making his own chain for seven years.;A Christmas Carol
What is Scrooge's famous response to Christmas at the beginning of the story?;"""Bah! Humbug!""";A Christmas Carol
According to the Ghost of Christmas Present, how many brothers does he have?;More than eighteen hundred (representing all the previous Christmas spirits).;A Christmas Carol
What is the final message of the story, as spoken by Tiny Tim?;"""God bless Us, Every One!"" - representing the spirit of universal love and goodwill that Christmas should inspire.";A Christmas Carol
What is the name of the main character?;Kate.;A Bit of Sunshine
What does Kate want to do at the beginning of the story?;Go out and play.;A Bit of Sunshine
Why is Kate's mother hesitant to let her play outside?;The grass must be quite soaked after all the rain.;A Bit of Sunshine
What does Kate's mother suggest instead?;To ask Papa if he will take them for a drive.;A Bit of Sunshine
How long does Papa say it will be before they leave?;Half an hour.;A Bit of Sunshine
Where is Kate's home located?;At the sea-side.;A Bit of Sunshine
What effect had the long rain had on the grass and leaves?;It made them look bright and green.;A Bit of Sunshine
What did the ships out at sea look like?;Great white birds.;A Bit of Sunshine
Why did Papa say the waves would be very wild?;Because the wind was just right to make a heavy surf.;A Bit of Sunshine
What was the first place they came to on their drive?;The fishing village.;A Bit of Sunshine
Where were the fishing boats kept?;Drawn up on the beach close to each house.;A Bit of Sunshine
What was a man doing in one of the boats?;Working hard on his knees, intent on some task with a tool.;A Bit of Sunshine
Who was in the boat with the working man?;A boy (his son).;A Bit of Sunshine
What did the boy in the boat do when Kate smiled at him?;He laughed back and made her a little bow.;A Bit of Sunshine
What was the name of the fishing boat?;Phillis.;A Bit of Sunshine
Why was Kate surprised by the boat's name?;"Because ""Phillis"" is a girl's name.";A Bit of Sunshine
What was the young girl doing in the doorway of the small house?;Making lace (working over it with a needle).;A Bit of Sunshine
Why did Mama think the lace-maker might be glad?;To have the bright sunshine to sit in after being kept inside by the rain.;A Bit of Sunshine
What was the little boy near the lace-maker doing?;Leaning against the side of the house whittling/making a boat.;A Bit of Sunshine
What did Kate wish she could have for her little pond?;A boat.;A Bit of Sunshine
Why couldn't Kate play safely around her pond?;It was too deep.;A Bit of Sunshine
What promise did Papa make to Kate about the future?;That when she was older, she would have a boat without fail.;A Bit of Sunshine
Where did the road go after leaving the village?;Along the top of some high cliffs.;A Bit of Sunshine
What did Mama ask Papa to let them do on the beach?;Have a short run on the sands.;A Bit of Sunshine
What did Kate pretend a piece of board was?;A ship.;A Bit of Sunshine
How did Kate feel when the board was dashed against the rocks?;Quite badly (sad).;A Bit of Sunshine
Why did they leave the beach?;Papa shouted that he was tired of waiting.;A Bit of Sunshine
What were the little girl and boy doing when Kate saw them in the green lane?;Walking home from school.;A Bit of Sunshine
What evidence showed they were coming from school?;The girl had a bag with books in it.;A Bit of Sunshine
"What does Kate say she would ""much rather"" do than walk or play?";Ride in the carriage.;A Bit of Sunshine
What does Papa see that makes him fear they will get wet?;A black cloud ahead.;A Bit of Sunshine
How did they stay dry in the carriage when it rained?;The carriage had a top, and they had rugs.;A Bit of Sunshine
Where did Kate see a girl and boy trying to stay dry?;Crouched close under a bush by the roadside.;A Bit of Sunshine
Why did Mama say they wouldn't get very wet?;The cloud was nearly passed, and the sun was shining again.;A Bit of Sunshine
What time was Kate's usual bedtime?;Seven o'clock.;A Bit of Sunshine
What time did Papa say it was when Mama mentioned bedtime?;Only five.;A Bit of Sunshine
"What made Kate indignantly claim she was a ""large little woman""?";Mama pointed out a baby girl who thought bedtime was near, implying Kate was still young.;A Bit of Sunshine
What did Papa jokingly say a boy and girl were doing at a hogs-head?;Fishing.;A Bit of Sunshine
What were the children actually doing at the hogs-head?;Sailing chips.;A Bit of Sunshine
What suddenly came down the road, alarming the horses?;A dog running at full speed, howling, being chased by an angry cat.;A Bit of Sunshine
What did Papa think the dog learned from the cat?;Not to trouble that cat again.;A Bit of Sunshine
What did Papa speculate might have made the cat so angry?;The dog teased her kittens.;A Bit of Sunshine
What did Kate see a dog trying to get from a fat small boy?;Some of the baby's supper (a slice of bread and butter).;A Bit of Sunshine
Where had a pair of birds made their nest?;In an old cart half full of hay near the side gate of the house.;A Bit of Sunshine
What were the parent birds doing in the nest when Kate saw them?;Feeding their young birds with a worm.;A Bit of Sunshine
What did Papa conclude from seeing the birds nesting safely in the cart?;There were no bad boys in that area.;A Bit of Sunshine
"Why did Papa decide to take a ""new way home""?";To get home in a very short time as it was getting late.;A Bit of Sunshine
What time did they arrive home?;Just as the hall clock struck six.;A Bit of Sunshine
Who was waiting to meet them when they arrived home?;Nurse (on the piazza).;A Bit of Sunshine
What happened when Mama came to kiss Kate goodnight at seven?;Kate was already fast asleep and didn't know Mama came.;A Bit of Sunshine
Who are Ozma's two chief guardians?;The Cowardly Lion and the Hungry Tiger.;Little Wizard Stories of Oz
Why are the Lion and Tiger frustrated with their job?;"No one is afraid of them or pays attention to them; they feel useless.";Little Wizard Stories of Oz
What does the Hungry Tiger crave?;Fat babies.;Little Wizard Stories of Oz
What does the Cowardly Lion imagine doing to prove his ferocity?;Tearing a person to pieces.;Little Wizard Stories of Oz
What plan do the Lion and Tiger hatch?;The Tiger will eat the first baby they meet, the Lion will tear the first person apart, and they'll flee to the jungle.;Little Wizard Stories of Oz
What do they find instead of immediately acting on their plan?;A lost, crying baby.;Little Wizard Stories of Oz
How does the Hungry Tiger react to the lost baby?;He comforts it and helps find its mother instead of eating it.;Little Wizard Stories of Oz
What happens to the baby's mother when she sees the Tiger?;She trips, falls, and hurts herself.;Little Wizard Stories of Oz
How does the Cowardly Lion help the fallen mother?;He picks her up gently and carries her home.;Little Wizard Stories of Oz
What does the baby do to the Hungry Tiger?;Kisses his nose.;Little Wizard Stories of Oz
How do the Lion and Tiger feel after helping the mother and baby?;Ashamed and humbled.;Little Wizard Stories of Oz
What sign does Dorothy see when entering the forest?;"""Look out for Crinklink.""";Little Wizard Stories of Oz
What blocks Dorothy and Toto's path in the forest?;A big, deep lake of black water.;Little Wizard Stories of Oz
Who offers to ferry Dorothy across the lake?;A tiny man (who is later revealed to be the Wizard).;Little Wizard Stories of Oz
What is unusual about the ferryman's jacket buttons?;They are the heads of animals (bear, wolf, cat, weasel, field-mouse) that can talk.;Little Wizard Stories of Oz
How does the ferryman get Dorothy and Toto across the lake?;He suddenly grows into a giant and steps across with them.;Little Wizard Stories of Oz
Where does Crinklink take Dorothy and Toto?;To his log castle perched on the highest peak in the hills.;Little Wizard Stories of Oz
What task does Crinklink force Dorothy to do?;Wash a huge pile of dirty dishes.;Little Wizard Stories of Oz
What threat does Crinklink make if Dorothy breaks a dish?;One lash from his cat-o'-nine-tails for every piece the dish breaks into.;Little Wizard Stories of Oz
Who tells Dorothy that Crinklink plans to nap?;The cat-head button.;Little Wizard Stories of Oz
What does Toto try to do to the sleeping Crinklink?;Attack/kill him.;Little Wizard Stories of Oz
Who is Crinklink really?;The Wizard of Oz in disguise.;Little Wizard Stories of Oz
Why did the Wizard trick Dorothy?;To teach her it's dangerous for a little girl to wander alone in a fairy country.;Little Wizard Stories of Oz
What happens to the animal heads when the Wizard removes his coat?;They turn back into real animals (bear, wolf, cat, weasel, field-mouse) and escape.;Little Wizard Stories of Oz
Why does Tiktok visit the Nome King?;To get new steel springs for his thought-works and a new cogwheel for his speech-producer.;Little Wizard Stories of Oz
What does the Wizard warn Tiktok about?;The Nome King's bad temper.;Little Wizard Stories of Oz
How does the Nome King destroy Tiktok?;He hits him with his mace, shattering him into pieces.;Little Wizard Stories of Oz
Why does the Nome King regret destroying Tiktok?;He fears Princess Ozma will be angry and wage war against him.;Little Wizard Stories of Oz
Who repairs Tiktok?;Kaliko, the Nome King's Chief Steward.;Little Wizard Stories of Oz
How long does it take Kaliko to repair Tiktok?;Two weeks, working night and day.;Little Wizard Stories of Oz
How does the Nome King react when he sees the repaired Tiktok?;He thinks it's a phantom or vision and is terrified.;Little Wizard Stories of Oz
What convinces the Nome King that Tiktok is real?;Kaliko confirming he repaired him and Tiktok speaking.;Little Wizard Stories of Oz
Why did the Nome King hit Tiktok?;Because he was angry.;Little Wizard Stories of Oz
What does the Nome King promise Tiktok as an apology?;To send him back to Oz loaded with jewels for Princess Ozma.;Little Wizard Stories of Oz
Why do Ozma and the Wizard journey through Oz?;To ensure everyone is happy and contented, and to right any wrongs.;Little Wizard Stories of Oz
What complaint does the man in the mountains have?;Three mischievous Imps (Olite, Udent, Ertinent) annoy travelers and his family.;Little Wizard Stories of Oz
What does the Wizard first transform the Imps into?;Three thorny bushes.;Little Wizard Stories of Oz
Why doesn't this transformation stop the Imps?;The bushes can move and attack Ozma and the Wizard.;Little Wizard Stories of Oz
What does the Wizard transform the bushes into next?;Three white pigs.;Little Wizard Stories of Oz
How do the pig Imps cause trouble?;They trip Ozma and the Wizard and dump the Wizard in the river.;Little Wizard Stories of Oz
What does the Wizard transform the pigs into?;Three blue doves.;Little Wizard Stories of Oz
Why are the doves also troublesome?;They try to peck out Ozma's and the Wizard's eyes.;Little Wizard Stories of Oz
What final form does the Wizard transform the Imps into?;Three buttons (tin, brass, lead).;Little Wizard Stories of Oz
What will happen if the Imps repent while they are buttons?;The tin button will turn to silver, the brass to gold, and the lead to aluminum.;Little Wizard Stories of Oz
How does Ozma discover the lost children?;Through her Magic Picture.;Little Wizard Stories of Oz
Who does Ozma send to rescue the children?;Jack Pumpkinhead (riding the Sawhorse).;Little Wizard Stories of Oz
Why does Jack Pumpkinhead need a field of pumpkins?;His pumpkin head spoils with age, so he needs replacements.;Little Wizard Stories of Oz
Why are the children tied to a tree?;The Squirrel King accused them of stealing nuts from his storehouse. ;Little Wizard Stories of Oz
